23.1.1.14. Gimnáziumi nevelés és oktatás;;;;;;;;;;;;;;;
Tanév;Iskola – feladat-ellátási hely;Osztályterem;Pedagógus;Tanuló összesen;Tanuló, ebből: nappali oktatás;Nappali oktatásban tanulókból külön osztályban, intézményben oktatott sajátos nevelési igényű;Nappali oktatásban tanulókból hátrányos helyzetű;Nappali oktatásban tanulókból 5–8. évfolyamos;Nappali oktatásban tanulókból 9. évfolyamos;Nappali oktatásban tanulókból 9. és magasabb évfolyamos;Nappali oktatásban tanulókból leány;Nappali oktatásban tanulókból kollégiumban lakók aránya, %;Osztályok a nappali oktatásban;Egy osztályra jutó tanuló;Egy pedagógusra jutó tanuló
1990/1991;321;3 989;10 246;142 247;123 427;..;..;..;36 334;123 427;81 991;..;3 988;30,9;12,0
1991/1992;358;4 199;10 732;154 051;134 139;..;..;3 761;35 070;130 378;88 070;..;4 191;32,0;12,5
1992/1993;396;4 520;11 290;165 314;143 805;..;..;7 076;36 289;136 729;93 227;..;4 408;32,6;12,7
1993/1994;420;4 703;11 959;172 751;150 163;..;..;11 965;36 465;138 198;95 293;..;4 476;33,5;12,6
1994/1995;449;5 001;12 578;182 448;158 957;..;..;18 605;37 378;140 352;99 139;..;4 579;34,7;12,6
1995/1996;475;5 203;12 912;186 671;164 203;..;..;23 319;35 290;140 884;101 257;..;4 662;35,2;12,7
1996/1997;497;5 421;13 133;189 963;166 989;..;..;26 122;36 143;140 867;101 313;..;4 750;35,2;12,7
1997/1998;511;5 567;13 669;194 841;169 107;..;..;27 705;37 304;141 402;102 102;..;4 866;34,8;12,4
1998/1999;533;5 714;14 021;201 802;171 769;..;..;29 573;38 394;142 196;102 739;..;4 956;34,7;12,3
1999/2000;533;5 796;14 415;208 570;175 492;..;..;30 282;39 537;145 210;104 248;..;5 064;34,7;12,2
2000/2001;615;6 195;15 550;215 500;178 500;..;..;29 000;40 713;149 500;105 758;..;6 240;28,6;11,5
2001/2002;685;6 594;16 845;223 474;182 267;251;..;27 884;42 050;154 383;107 695;10,5;6 410;28,4;10,8
2002/2003;715;6 755;17 128;232 399;186 508;99;..;27 844;42 622;158 664;110 145;9,8;6 431;29,0;10,9
2003/2004;728;6 974;17 675;239 086;190 447;160;..;28 231;43 130;162 216;112 121;10,2;6 581;28,9;10,8
2004/2005;743;7 129;17 816;238 850;193 366;172;7 120;28 184;44 097;165 182;113 317;9,5;6 704;28,8;10,9
2005/2006;761;7 362;18 213;243 878;197 217;205;10 362;27 573;46 252;169 644;115 620;10,3;6 819;28,9;10,8
2006/2007;807;7 490;19 284;246 267;200 292;213;11 596;27 230;45 711;173 062;117 590;10,2;6 935;28,9;10,4
2007/2008;822;7 567;18 687;243 152;200 026;131;12 450;27 208;43 796;172 818;117 247;9,8;6 949;28,8;10,7
2008/2009;837;7 626;18 436;242 777;203 602;132;14 277;26 633;43 150;176 969;119 566;9,2;7 088;28,7;11,0
2009/2010;850;7 555;18 363;239 992;201 208;134;16 727;25 949;41 398;175 259;117 471;9,0;7 052;28,5;11,0
2010/2011;876;7 649;18 292;241 872;198 700;136;19 386;25 511;42 464;173 189;115 188;8,9;6 952;28,6;10,9
2011/2012;879;7 552;18 186;236 707;195 169;138;20 126;25 518;40 819;169 651;112 552;8,7;6 867;28,4;10,7
2012/2013;877;7 460;17 851;228 315;189 526;136;19 611;25 119;38 665;164 407;108 649;8,5;6 775;28,0;10,6
2013/2014;869;7 299;17 680;220 472;185 440;123;13 306;24 698;41 650;160 742;105 833;8,4;6 644;27,9;10,5
2014/2015;882;7 261;17 884;216 368;182 228;90;6 022;24 752;42 744;157 476;103 286;8,2;6 528;27,9;10,2
2015/2016;860;7 234;17 937;213 069;180 966;68;4 711;24 922;44 803;156 044;102 392;8,1;6 477;27,9;10,1
2016/2017;894;7 428;18 260;214 464;181 782;35;3 681;25 311;47 326;156 471;102 668;8,1;6 469;28,1;10,0
2017/2018;892;7 424;18 259;216 062;184 525;26;2 996;25 498;48 608;159 027;104 228;7,9;6 540;28,2;10,1
2018/2019;866;7 559;18 564;215 645;187 599;43;2 423;26 103;48 140;161 496;105 870;7,5;6 633;28,3;10,1
2019/2020;858;7 590;18 513;217 155;188 970;57;1 871;26 139;48 753;162 831;106 166;7,3;6 631;28,5;10,2
2020/2021;877;7 811;18 574;221 750;191 526;64;1 658;26 215;48 903;165 311;107 052;7,2;6 686;28,6;10,3
2021/2022;881;7 933;18 627;225 508;194 179;76;1 400;26 021;50 456;168 158;108 447;7,0;6 758;28,7;10,4
2022/2023;891;7 747;18 721;227 210;194 972;78;1 037;25 855;49 129;169 117;108 803;6,9;6 817;28,6;10,4
2023/2024;880;7 840;18 620;226 588;194 102;76;1 031;25 924;47 440;168 178;108 266;6,7;6 850;28,3;10,4
2024/2025;880;7 883;18 827;226 204;192 274;81;881;25 962;46 392;166 312;107 329;6,5;6 875;28,0;10,2
2025/2026;878;7 862;18 859;222 799;188 195;80;922;26 142;44 990;162 053;104 786;6,3;6 791;27,7;10,0
